firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
Thomson-Reuters,44033, Editorial Associate,Current Employee,"London, England, England",2,4.0,2.0,,1.0,1.0,2.0,x,x,x,"Nice people, bad workers rights","Nice offices, colleagues are friendly and professional.","Most workers have been moved to the status of ""Contractor"" (unless you're a senior employee). This means TR can get around providing the majority of us with basic workers' rights (no sick pay, no pay increases, no access to HR within the company, no pension scheme, no paid lunch hour, no other benefits that permanent employees get). 

Instead they pay an umbrella company to hire us as agency workers and oversee our pay (this has led to multiple issues with missed payment with past and current employees - many still waiting to be repaid). 

Many of us have worked full time for years for TR but are still classed as outside agency workers. People currently leaving permanent roles are now having their roles advrtised at a MUCH lower salary and on Contractor status. It's insulting that such a large and established company feels they can cut costs and corners with their employees' rights. Avoid Contractor roles if you can, go for a smaller company that cares about their workers - the stress of having to track your pay constantly is not worth it."
Willis-Towers-Watson,43320, Analyst,"Former Employee, more than 3 years",Montevideo,2,1.0,3.0,,2.0,2.0,1.0,x,r,x,Analyst,Get to become familiar with how research can be of use within the private sector.,"Verry bad management and growth opportunities
“Friends of” get more benefits, the rest little by little is left without tasks
HR not professional at all
Discrimination due to sexual orientation and religion"
IBM,40526, Senior Systems Engineer,Current Employee,Bangalore,3,2.0,,,3.0,2.0,3.0,v,o,o,Work culture,"Flexibility in terms of providing Laptop is very good. Good place for the female IT consultants.
Lots of knowledge sharing and gaining possibilities",Salary is less compared to the competitors
IBM,44106, IT Network Architect,Former Employee,"Toronto, ON",4,4.0,4.0,4.0,4.0,4.0,4.0,v,o,r,IBM Canada,Great people to work with and learn about emerging technology.,IT staffing has been shrinking in recent years.
KPMG,43778, Manager,"Current Employee, more than 1 year",,3,1.0,2.0,,4.0,3.0,3.0,o,r,r,Organisational Culture,Opportunities to work in cross functional teams,The organisational culture is not adopted universally which makes experiences dependant on team
IBM,43020, Anonymous Employee,Former Employee,,4,3.0,4.0,,4.0,3.0,4.0,v,o,r,Experis IT,Experis IT is good company to start a carrier for freshers,Salary is not enough. Please increase the salary
PwC,42705, ,Current Employee,,3,4.0,3.0,,4.0,3.0,4.0,x,r,r,PwC Review,"well respected, good training programs",work is a little slow for associates
PwC,44115, Financial Markets Experienced Associate,Former Employee,"New York, NY",4,4.0,4.0,4.0,4.0,4.0,3.0,v,r,v,Good place to start your career,Good place to start your career and grow,"None that I can think of, I enjoyed my time there"
Capita,42428, Anonymous Employee,Current Employee,,4,3.0,5.0,,4.0,5.0,4.0,v,o,v,Good Stability & Training,"Good Training
Good Salary
Good environment
good career opportunities with time and commitment","Some departments get employees lost in numbers
Shift Patterns can be awkward"
University-of-Michigan,41772, Library Assistant Temp D,"Current Employee, more than 1 year","Ann Arbor, MI",5,,,,,,,o,o,o,"Very open, caring and flexible staff.",Flexible scheduling is provided for students,Starting pay for students is low
HSBC-Holdings,43819, Financial Analyst,"Current Employee, less than 1 year","Vancouver, BC",5,5.0,5.0,,5.0,3.0,5.0,v,v,o,Great place to work,"Great benefits, Knowledgeable management","Work pressure, Performance targets and competition"
EY,44180, Senior Tax Manager Second Year,Current Employee,"Bristol, England, England",4,2.0,4.0,3.0,3.0,4.0,3.0,v,o,v,Good benefits  but very demanding,"Variety of work
Great teams
Flex bens","Long hours
High demands
Hard nosed leadership"
British-Airways,40008, Cabin Crew,Current Employee,"London, England, England",4,2.0,,,4.0,4.0,1.0,v,x,o,A great airline to work for except for the LT,"Working for british airways was alway my dream, it is full of fantastic people apart from the leadership team.  e have some fantastic layovers and a service to be proud of.  I really do enjoy going into work each day.",Poor management from the top.  Departments being turned against each other.  Leadership team trying to reduce us to low cost carrier.  LT making our fantastic airline a laughing stock and talking us down.
Google,43026, Test Engineer,"Former Employee, more than 1 year",,4,3.0,4.0,,4.0,4.0,4.0,v,v,v,Great place to work,"Chilled out place to work, great socials and opportunity to innovate. Best company intranet so far. Gtech is the coolest.",Not many but maybe internal comms.
Citi,44049, Personal Banker,Current Employee,,4,5.0,4.0,,4.0,4.0,4.0,v,v,r,Decent pay,Decent pay and good work/life balance,Systems are no very user friendly
Tesco,44235, Customer Assistant,Former Employee,"Orpington, England, England",2,,,,,,,o,o,o,Work,It was really good atmosphere,It can be hard work at times
Oracle,41018, ,Current Employee,Bangalore,4,3.0,,,3.0,3.0,3.0,v,v,o,Nice,You get to work with the product developer,Internal growth is limited as there is not much place in Middle Management
Workday,44230, Senior Consultant,"Current Employee, more than 1 year","Chicago, IL",4,5.0,5.0,5.0,4.0,4.0,5.0,v,v,v,Great company,"Great benefits, perks. The product is amazing",Very steep learning curve for new employees. Must be self-motivated and search for answers
EY,40445, ,Former Employee,"New York, NY",1,2.0,,,1.0,3.0,1.0,x,x,o,Mediocrity rewarded,Good knowledge sharing; great technology,Odd decentralized management in which sections of the organization are not talking to one another
Citi,42530, Anonymous Employee,Current Employee,,4,4.0,4.0,,3.0,4.0,1.0,v,x,v,Big Bank with great tech infrastructure,"Cutting edge technologies with mainframe System z
Very experienced teammates
Great learning environment
Flexible schedule but now the times are changing..","Stuck stock prices
Still recovering from the financial crisis
Bureaucracy and regulations stifle technical improvements"
Google,44035, Administrative Business Partner,Former Employee,"New York, NY",4,5.0,5.0,,5.0,5.0,5.0,o,o,o,Admin Bus. partner,"- Great Variety of Meals
- flexible",=- please notify me ahead of time for late time
McDonald-s,44325, Manager,"Former Employee, more than 3 years","Suwannee, FL",3,4.0,1.0,1.0,1.0,1.0,1.0,x,x,r,Boring,The pay was awesome and the over time is cool as well,Benefits where trash. If your part time you get nothing
Korn-Ferry,43244, Anonymous Employee,Current Employee,,4,4.0,4.0,,4.0,4.0,4.0,v,v,v,Partner,"Great people, great clients and great products!",Need to increase execution capability in advisory
IBM,41338, Senior Operation Executive,"Former Employee, more than 1 year",Calcutta,4,,,,,,,o,o,o,It was my first job in IBM and my experience is very good with them . I was really satisfied with that job.,It was my first job in IBM and my experience is very good with them . I was really satisfied with that job. I got so many opportunity to groom myself. The Support level is very helpful to me. The help us to train not only particular job skill but also help us to get other skill which is required to move to the next  level.,They reducing the housekeeping manpower hence employee are suffering for that.
HSBC-Holdings,40570, Analyst,Current Employee,,3,1.0,,,2.0,2.0,4.0,o,o,o,Good to Average,happened to have a good manager who is very good technically and has good business sense. Got to learn a lot from him,no room for growth. One dimentional
EY,42027, ,Current Employee,,4,,,,,,,o,o,o,OK company,"i like it very much, great company",Too many politics in my opinion
H-and-M,44033, Sales Advisor,"Current Employee, more than 1 year","Manchester, England, England",4,3.0,4.0,,4.0,2.0,2.0,v,r,v,Not bad,"People, easy work and not bad pay .","Management poor, shifts not predictable."
Microsoft,42351, Software Engineer,"Current Employee, more than 5 years","Sunnyvale, CA",5,5.0,4.0,,5.0,5.0,4.0,v,o,v,Software Engineer 2,"Great place of work, great people.",Non that I can think of.
Citi,42691, Anonymous Employee,"Current Employee, more than 1 year",,4,4.0,4.0,,4.0,4.0,4.0,v,v,v,Citi Corp Services India Pvt Ltd,"Career Opportunities, Compensation & Benefits",We to be honest there are none.
Thomas-Cook,43741, IT Analyst,"Former Employee, more than 3 years","Peterborough, England, England",4,5.0,5.0,,5.0,4.0,4.0,o,o,o,Great place to work,Free milk; flexible hours; working from home; great people,None- love working in there
Sodexo,43781, Senior Human Resources Generalist,"Former Employee, more than 8 years","Harahan, LA",3,3.0,5.0,,3.0,2.0,2.0,o,o,o,Sodexo Energy & Resources,"Very competitive salaries within the Administrative staff.   With having offices in 88 countries, they are a very diverse company and take pride in their diversity and inclusion","Advancement does not happen often if you are not already senior management, despite their claims of transparency, they are not very forthcoming when it comes to  disclosing what is being done to grow the business.  The smaller segments do not have much of a ""voice"" and their suggestions are not taken seriously"
WLT-Group,43416, Anonymous Employee,Former Employee,,3,3.0,3.0,,3.0,2.0,1.0,o,r,o,Decent,The teams on the ground are always fantastic and great to work with,The management: just there to squeeze everyone for their profit and give you no tools to work with
IBM,42648, Project Manager,"Current Employee, more than 10 years","Oxford, England, England",2,2.0,,,1.0,3.0,,o,o,o,Project Manager,Great training and development in the US,Very few US job opportunities
Barclays,44139, IT Manager,Current Employee,"Manchester, England, England",4,,,,,,,x,v,r,Can’t be too bad as I’ve been here a long time!,Reasonable working conditions. Most managers seem to actually care but then there’s also the usual few who upset the cart.,Same politics in the hierarchy as you’d expect anywhere
IBM,44125, Senior Financial Analyst,Former Employee,"Toronto, ON",3,1.0,3.0,5.0,4.0,3.0,4.0,x,r,x,Too Much Politics,Management cares about your career progression.,Politics will get in the way of your promotion. A company HQ in USA will always care more about the bottom line than the employees
Deutsche-Bank,41473, ,Current Employee,,1,3.0,2.0,,1.0,4.0,1.0,x,r,x,"Over worked, under paid, no appreciation","Vacation days, if you can take them","No career advancement. And when you do advance, need to wait till jan or July for salary increase and unable to negotiate new salary"
Deloitte,44284, Solution Specialist,Current Employee,,4,4.0,4.0,4.0,3.0,5.0,3.0,o,o,o,Great experience,Great management and good people to work around.,It can be hard to move up to something you want to do when there are people who don’t want to perform your job.
Citi,42872, Senior Quality Assurance Analyst,"Former Employee, less than 1 year","Irving, TX",4,5.0,3.0,,4.0,5.0,3.0,v,x,v,Quality Assurance Analyst,Benefits are great and opportunities forr growth,Senior Mgmt needs a reality check
BBC,44272, Account Manager,"Former Employee, more than 3 years","London, England, England",5,5.0,5.0,5.0,5.0,4.0,5.0,v,o,v,Great Company,"Work-Life Balance, Training, Exposure, Culture, Values",Career progression may be slow (not necessarily)
Unity-Technologies,41431, Test Engineer,"Current Employee, less than 1 year",,5,4.0,5.0,,4.0,3.0,4.0,v,o,v,A great company that is growing fast,"- Work with passionate, talented people who care about the product, from the newest intern to the CEO.

- Treated like an adult, given latitude to make decisions within your purview and plan your own workday.

- Great work environment.  No suit and tie!  He//, no shoes (shirt required though, please).  Drink beer on the job (just don't spill on the keyboard, please).  Work whatever hours you want (within reason).

- ZERO crunch.

- FAFF (Fridays Are For Fun).  Time permitting, you're allowed to work on a project of your choice and often the last part of the day is a party, everything from go-cart races to beer drinking.

- Great relationship with customers.  They appreciate the democratization of games the engine provides and the passion of the crew, and respond in kind.","- Repetitive work (but I knew this going into the job).

- As with most jobs in the game industry, the pay isn't what you'll get on the outside.  But you're working in the game industry, and you'll never hate going to work in the morning!

- No matching 401k."
Deloitte,41097, Assistant Manager,"Current Employee, more than 1 year","Gurgaon, Haryana, Haryana",4,1.0,2.0,,4.0,3.0,3.0,o,o,v,Best among rest of the Big4 in auditing,"1.Top bigshots clients
2.Good Brand name
3. Recognition for good work","1.No time remains for personal life
2.80% outstation travelling"
Google,42967, Anonymous Employee,"Current Employee, less than 1 year",Bangalore,5,5.0,5.0,,5.0,3.0,4.0,v,v,v,Bestt,Google is the best for jobs.,If we worh here it is presitious one
Apple,41277, ,Current Employee,,4,3.0,4.0,,3.0,4.0,3.0,v,v,r,"If your looking for a great way to work with Apple while in college, this is a great way to do it.","Benefits, work experience with Apple, potential to Advance.",Takes a considerable amount of dedication and time beyond the required and set hours.
Citi,43794, Anonymous Employee,"Former Employee, more than 3 years",,1,1.0,1.0,,1.0,1.0,1.0,x,x,x,"Horrible culture, the worst management","None, salaries seem good at the beginning but it's not worth it.","Exploitative, stagnant, managers are managers because they have been in the company for many years, not because they are competent. Horrible culture where harassment and abuse are tolerated and even rewarded. The most mediocre tend to survive and perpetuate the problem. Very high turnover rate."
HSBC-Holdings,43899, Compliance Officer,"Former Employee, more than 5 years",Hong Kong,3,3.0,3.0,,3.0,5.0,2.0,x,x,x,Just an average bank,benefits are awesome and multi-cultural,demanding and frequently change of regulation
Post-Office,42683, Mortgage Specialist,"Current Employee, more than 3 years","London, England, England",1,3.0,1.0,,1.0,2.0,1.0,x,r,x,Mortgage Specialist,Work life balance is more present here and the basic salary is higher than most high street banks.,"Too many to list, however, if I should get specific here are but a few:
* Living in the dark ages in terms of systems and processes - need to bring this right up to scratch
* No robust processes and one rule for one and different for others
* Bonus scheme - non existant
* Far too many spreadsheets to fill in to track MI, which in turn leads to inaccuracies
* Lead generation process is not robust enough, leading to most business being self generated
* No career progression - unclear career progression
* One lender, Bank of Ireland who are very difficult to deal with and often turn business down
* Appalling Mortgage Specialist retension rate, a lot of MSs leaving in their droves...
* Very hard sale when it comes to customers, no rapport building enlisted, just straight sell, sell, sell..."
Lloyds-Banking-Group,43846, Community Health Support Program,"Current Employee, more than 5 years","Halifax, England, England",4,5.0,4.0,,4.0,3.0,4.0,v,v,v,Great Building,"35 hours pw
good training
work from home","organisational change often
change of leadership meaning new vision"
Deloitte,44043, Senior Consultant,Current Employee,Luxembourg,3,,,,,,,o,o,o,It's alright,"Flexibility, paid certificate training, good on cv for future opps","Below the market salary, not all overtime can be charged, no work life balance"
Morgan-Stanley,40347, Temp,Former Employee,"New York, NY",4,3.0,,,4.0,3.0,4.0,v,r,o,Positive,"Great peers who make the time to help you
A lot of training
A lot of great facilities
The working hours are reasonable
Very resourceful
Positive Morale in the workplace","There are rooms for advancement but normally they are people with public accounting background or has been in the company for many many years.
A lot of computer interactions necessary"
Hilton,42783, Anonymous Employee,Current Employee,,5,4.0,5.0,,5.0,4.0,4.0,v,v,v,A great company to work for,A great company to work for and a lot of opportunity to grow in your career.,Pay is not always good
PwC,41793, Experienced Audit Associate,"Current Employee, more than 1 year","San Francisco, CA",5,3.0,5.0,,5.0,4.0,5.0,v,v,v,Great place to work and bulid relationships...,"A lot of options if you are high performer
Very friendly people and everybody wants you to succeed","Hard to switch LoS
Promotions take longer than other Big 4"
IBM,43439, Anonymous Employee,Former Employee,,3,,,,,,,o,o,o,PM,Good work environement and  flexibility,3 months notice to leave is too long
McDonald-s,44117, Crew Member,Former Employee,,3,,,,,,,o,o,o,Not bad,Free mcdonalds and easy to take time off,Often dealing with impatient customers
McDonald-s,42861, Team Member,"Former Employee, more than 1 year","Irvine, CA",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Worked there before,"Great people to work for, and serve.  You usually will get good hours, because they are always so busy.","McDonald's is always so busy, so you'll never have a slow day."
Salesforce,42944, Software Engineer,"Current Employee, more than 1 year","Indianapolis, IN",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Great place to work for,"- Excellent Benefits
- Great Pay
- Excellent Culture
- Place where you can see equality happening
- You can work independently 
- Your ideas are always appreciated 
- You will have the freedom to choose the technology for any new task
- Great opportunities for learning
- Flexibility to change teams and move to new roles",=- company kind of slowing down on innovating new things. market is moving so fast. competitors are Growing everyday. we might Need to speed up a little.
Oracle,42173, Senior Sales Consultant,Current Employee,Melbourne,1,3.0,1.0,,2.0,1.0,2.0,x,x,x,Master Principal Sales Consultant,"Training available if it doesn't include travel
Some benefits included with salary - eg. health insurance","1 payrise  (only 4%) in the last 10 years....many didn't even get that
No process for annual payrise
Cheapest travel policy - cheapest airlines, economy class (but Business Class for management)
Develop yourself because Oracle wont develop staff"
ASDA,43621, Security Officer,"Current Employee, less than 1 year","Cardiff, Wales, Wales",2,5.0,4.0,,1.0,2.0,1.0,o,o,o,Management expects too much from you.,"Flexibility for holiday days, shift cover and extra hours.",Too much expected from one person.
Ministry-of-Justice-UK,42519, ,Current Employee,,3,5.0,4.0,,2.0,4.0,3.0,v,r,x,Lot of interesting work to do in finance,"Gained a lot of experience in different areas of finance.
Work at the Ministry of Justice will improve stakeholder management","Unwilling to promote internal staff
Ministry of Justice is experiencing spending review opportunities are very limited.
Personally experience low morale in certain areas of organisation"
Morrisons,44281, Home Delivery Assistant,"Former Employee, more than 1 year","Blackpool, England, England",4,3.0,5.0,5.0,5.0,4.0,4.0,v,v,r,Not a bad place to work,"Very cheap food on sight, plenty of room for progressions, fairly decent managers, decent pay and night pay","Can have some very long hours, overtime is expected"
Thomson-Reuters,43978, Anonymous Employee,"Current Employee, more than 3 years",,5,5.0,5.0,,5.0,5.0,3.0,v,v,v,An work environment and culture you want to be part of,"A startup culture within an Enterprise. There is a change in the air for the better. They genuinely care about employees and their customers. Their products are smart and impactful in multiple extensive and exciting areas: News, Legal, Learning tools, Tax engines, ... They are real in the world of AI, have international footprint with their Technology Labs. 

The compensation package is good, combined with soft compensations it will well compete with great companies.

Diversity and Inclusion is a big focus. There is a special place for that everywhere.","No place is perfect. There is always a mix of good and bad. 

There are old schools still around, and there is mix of leaders with bossy mentality still there, even within some new joiners. But the Culture is right and things is always toward getting better one step at a time. 

Still you see leaders with the tendency or preference on their direct team members to be from particular culture just as it feels more comfortable.  Yes, it’s  going against the whole diversity mission, it's a hard point to catch but it's visible to the eye of minorities."
Morgan-Stanley,41225, Intern,"Former Employee, less than 1 year","Houston, TX",4,4.0,3.0,,3.0,3.0,4.0,v,v,r,Not bad.,The team was very welling to help me learn during my internship. Conversations around the water cooler were informative and valuable.,Not much to share in the cons department. My position was only a temporary one due to the internship nature of the position.
Grant-Thornton-UK-LLP,43481, Anonymous Employee,Former Employee,,4,4.0,5.0,,2.0,3.0,3.0,v,r,r,Solid employer,"- People
- Autonomy
- Scope of work
- Diverse nature of the business","=- senior leadership, especially the older male partners who stifle organisational progression"
AstraZeneca,42510, ,Former Employee,,3,4.0,3.0,,3.0,4.0,3.0,x,r,x,Layoffs,Good pay flexible hours good employees,Only advanced if in cliche---
IBM,44266, Inside Sales Representative,"Former Employee, more than 1 year","Columbus, OH",3,2.0,1.0,3.0,3.0,2.0,2.0,o,o,o,Bad,"Had fun learned alot, diverse",Too much fakeness and gossip
IBM,41674, ,Former Employee,,2,,,,,,,o,o,o,I jumped through hoops to be a new hire only to be laid off after 18 months.,"The pay was good, the people I worked with were great, I enjoyed my project.","Lay offs are an annual ritual.  While I loved what I did, I didn't like the stress that came during ""layoff"" season. It was starting to feel like a lottery you didn't want to win."
Adecco,42652, Recruiter,"Former Employee, more than 1 year","Shakopee, MN",1,1.0,1.0,,1.0,1.0,1.0,x,x,x,No work/life balance,"There really isn't too much positive in working here. We were understaffed, forced to work extra hours, rarely took a lunch break and the pay didn't match industry standards.","No work/life balance, blackout dates for taking time off during 4th quarter, late night and weekend requirements, intolerable stress level, understaffed, low salary."
McKinsey-and-Company,44227, Business Analyst,Former Employee,"London, England, England",5,,,,,,,o,o,o,Great company to work at,Great ownership at an early stage of my career,Late hours due to rework
